Feature:,Collapse Group:,Notes:
mh_Alcoholic Cirrhosis,Alcohol abuse; Cirrhosis;  chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_altered mental status,Altered mental status,Generic cognitive/consciousness disturbance not otherwise specified -- may overlap with liver-related encephalopathy above; verify context per row if possible.
mh_Alzheimer's,Alzheimer's disease; chronic inflammatory issue,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_Alzheimers,Alzheimer's disease; chronic inflammatory issue,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_alzheimer's,Alzheimer's disease; chronic inflammatory issue,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_early Alzheimers,Alzheimer's disease; chronic inflammatory issue,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_Alzheimer's depression,Alzheimer's disease; Depression; chronic inflammatory issue,
mh_AML,AML; chronic inflammatory issue,Distinct leukemia subtype from CML -- do not merge with CML.
mh_Anemia,Anemia,
mh_anemic,Anemia,
mh_chronic anemia,Anemia; chronic inflammatory issue,
mh_anemia,Anemia,
mh_Aneurysm,Aneurysm; chronic inflammatory issue,Ambiguous -- doesn't specify aortic vs. cerebral vs. other. Kept separate from the confirmed AAA group above pending verification.
mh_angina,Angina; chronic inflammatory issue,"Chest pain symptom, typically a marker of underlying CAD -- consider grouping with CAD or keeping as its own symptom flag."
mh_angioedema,Angioedema,
mh_anxiety,Anxiety; chronic inflammatory issue,
mh_aoritc stenosis,Aortic stenosis; chronic inflammatory issue,"""mh_aoritc stenosis"" looks like a typo for ""aortic stenosis""."
mh_aortic anersym,Aortic aneurysm; chronic inflammatory issue,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral). "
mh_aortic aneurysm,Aortic aneurysm; chronic inflammatory issue,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral). "
oc_confirmed aphakic (OD),Aphakic,Distinct from pseudophakic -- lens removed with no replacement implant. Do not merge with pseudophakic.
mh_ARDS,ARDS; acute inflammatory issue,"ARDS = acute respiratory distress syndrome, an acute critical-illness event, not a chronic lung disease -- keep separate from COPD group."
mh_arthritis,Arthritis; chronic inflammatory issue,"Generic ""arthritis"" without specifying RA vs. OA -- cannot be confidently merged into either specific bucket without more info; keep as its own ""unspecified"" category per your under-merging preference."
mh_asthma,Asthma; chronic inflammatory issue,
mh_A Fib,Atrial fibrillation (A Fib); general inflammation,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A fib,Atrial fibrillation (A Fib); general inflammation,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. Fib,Atrial fibrillation (A Fib); general inflammation,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. fib,Atrial fibrillation (A Fib); general inflammation,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_Afib,Atrial fibrillation (A Fib); general inflammation,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_on Coumadin for A Fib,Atrial fibrillation (A Fib); chronic inflammatory issue,A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. fib (pacemaker) - 2007; high cholesterol),Atrial fibrillation (A Fib); High cholesterol / hyperlipidemia; chronic inflammatory issue,
mh_scleroderma,autoimmune issue; chronic inflammatory issue,
mh_Wegener's disease,Vasculitis; autoimmune issue; chronic inflammatory issue,Autoimmune vasculitis.
mh_basal ganglia infarction,Basal ganglia infarction; acute inflammatory issue,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap.
mh_benign pituitary tumor,Benign pituitary tumor,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
oc_bilat severe visual impairment,Bilateral severe visual impairment,"""oc_patially blind"" looks like a typo for ""partially blind""."
mh_Bladder cancer with mets,Bladder cancer; chronic inflammatory issue,
mh_bladder cancer,Bladder cancer; chronic inflammatory issue,
mh_bladder cancer diagnosed 11/04,Bladder cancer; chronic inflammatory issue,
mh_Waldenstrom's disease,Blood Cancer; chronic inflammatory issue,"Rare blood cancer, distinct entity."
mh_fractured right femur,Bone fracture; acute inflammatory issue,Isolated injury record.
mh_bowel obstruction,Bowel obstruction; general inflammation,
mh_bowel perforation,Bowel perforation; acute inflammatory issue,
mh_brain tumor,Brain tumor ; chronic inflammatory issue,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
mh_Breast cancer,Breast cancer; chronic inflammatory issue,
mh_Masectomy,Breast cancer; chronic inflammatory issue,
mh_breast cancer,Breast cancer; chronic inflammatory issue,
mh_breast cancer(s/p mastectomy),Breast cancer; chronic inflammatory issue,
mh_C.diff,C.diff; acute inflammatory issue,Clostridioides difficile intestinal infection.
mh_cardiac arrest,Cardiac Arrest; acute inflammatory issue,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_cardiomegaly,Cardiomegaly; chronic inflammatory issue,Structural heart muscle disease.
mh_Cardiomyopathy,Cardiomyopathy,Structural heart muscle disease.
mh_cardiomyopathy,Cardiomyopathy,Structural heart muscle disease.
"oc_""laser for cataract surgery""",Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts surgery,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (no surgery),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (no surgery),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_develop cataract,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_senile cataracts (no surgery),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_radiation cataracts,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OD),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OD),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OS),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OS),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU) 1 yr before death,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery OU in 2008,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (surgery OU),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery OU in 2008,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery ou approx 5 yrs before death,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OU),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts OU,Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OU),Cataracts; chronic inflammatory issue,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts; confirmed pseudophakic),Cataracts; Pseudophakic; chronic inflammatory issue,
mh_CKD,Chronic kidney disease (CKD); chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_CKD - stage 3,Chronic kidney disease (CKD); chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_Chronic Kidney disease,Chronic kidney disease (CKD); chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease,Chronic kidney disease (CKD); chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease - stage 3,Chronic kidney disease (CKD); chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic pain,Chronic pain; chronic inflammatory issue,
mh_cirrhosis,Cirrhosis; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_liver cirrhosis,Cirrhosis; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_biliary cirrhosis,Cirrhosis; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_clotting disorder,clotting disorder; chronic inflammatory issue,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_CMF+Afib post op,Cardiomyopathy; Atrial fibrillation (A Fib); general inflammation,chemo drug? Or typo for chf?
mh_colitis,Colitis; general inflammation,
mh_colon cancer,Colon cancer; chronic inflammatory issue,
mh_possible colon cancer,Colon cancer; chronic inflammatory issue,
mh_CHF,Congestive heart failure (CHF); general inflammation,CHF = congestive heart failure
mh_congestive heart failure,Congestive heart failure (CHF); general inflammation,CHF = congestive heart failure
mh_heart failure,Congestive heart failure (CHF); general inflammation,CHF = congestive heart failure
oc_contact lens,Contact Lens,
mh_COPD,COPD; chronic inflammatory issue,COPD = chronic obstructive pulmonary disease
mh_chronic obstructive pulmonary disease,COPD; chronic inflammatory issue,COPD = chronic obstructive pulmonary disease
mh_emphysema,COPD; chronic inflammatory issue,Emphysema is a form/consequence of COPD
mh_severe COPD,COPD; chronic inflammatory issue,COPD = chronic obstructive pulmonary disease
oc_cornea transplant,Cornea Transplant,
mh_corneal ulcer,Corneal ulcer; chronic inflammatory issue,
oc_eye ulcers,Corneal ulcer; chronic inflammatory issue,
mh_CAD,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_Coronary Artery Disease,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_coronary artery disease,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_coronary artery disesase,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_ischemic heart disease,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CABG,Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_CABG - 1979,Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_CAD (CABG - 1998),Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CAD s/p CABG,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CAD s/p stent,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_cardiac bypass (2003),Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_coronary artery disease s/p bypass,Coronary artery disease (CAD); chronic inflammatory issue,"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_stent placement,Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_stent placement - 1995,Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_stents,Coronary artery disease (CAD); chronic inflammatory issue,CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_dehydration,Dehydration,
mh_Dementia,Dementia; chronic inflammatory issue,
mh_dementia,Dementia; chronic inflammatory issue,
mh_Depression,Depression; chronic inflammatory issue,
mh_depression,Depression; chronic inflammatory issue,
mh_on antidepressant,Depression; chronic inflammatory issue,
mh_depression/bipolar,Depression; Bipolar; chronic inflammatory issue,
mh_insulin in hospital,Diabetes; chronic inflammatory issue,"Inpatient insulin use -- likely a diabetes proxy, but not an explicit diabetes diagnosis; verify before treating as a diabetes flag."
mh_Diverticulitis,Diverticulitis; general inflammation,
mh_diverticulitis,Diverticulitis; general inflammation,
mh_Eye drops for eyes,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_rewetting drops for eyes,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_Restasis for dry eyes,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_drops for dryness,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_saline drop,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_used eye drops,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye syndrome,Dry eye; chronic inflammatory issue,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_dysphagia,Dysphagia; chronic inflammatory issue,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_dysphasia,Dysphasia,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_Encephalopathy,Encephalopathy; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_encephalopathy,Encephalopathy; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_metabolic encephalopathy,Encephalopathy; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_ESLD,End stage liver disease (ESLD); chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_end stage liver disease,End stage liver disease (ESLD); chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_endometrial cancer,Endometrial Cancer; chronic inflammatory issue,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_esophageal cancer,Esophageal cancer; chronic inflammatory issue,
mh_esophageal cancern diagnosed 2 years ago,Esophageal cancer; chronic inflammatory issue,
oc_metal fragment penetrate one eye - removed by dr. (2 yr ago),Eye injury,
oc_cosmetic lid sx,Eyelid surgery,sx = surgery.
oc_eyelid sx(inversion of eyelid),Eyelid surgery,sx = surgery.
oc_eyelid sx(since child),Eyelid surgery,sx = surgery.
mh_Fibromyalgia,Fibromyalgia; chronic inflammatory issue,
mh_fibromyalgia,Fibromyalgia; chronic inflammatory issue,
mh_fluctuating blood pressure,Fluctuating Blood Pressure; chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_esphagitis,GI disease; chronic inflammatory issue,"Likely typo for ""esophagitis""."
mh_GERD,GI disease; chronic inflammatory issue,GERD = gastroesophageal reflux disease.
mh_GI bleed,GI disease; chronic inflammatory issue,
mh_chronic pancreatitis,GI disease; chronic inflammatory issue,
mh_esophagus and bladder surgically removed,GI disease; Kidney disease/problems; chronic inflammatory issue,
oc_Glaucoma,Glaucoma; chronic inflammatory issue,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
mh_gout,Gout; chronic inflammatory issue,"A distinct crystal-induced arthritis, not OA or RA."
mh_Grave's disease,Graves' disease; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_grave's disease,Graves' disease; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_possible Graves' disease,Graves' disease; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_Heart Disease,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_Heart disease,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart diseaes,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart disease,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart problems,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_mild herat disease,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_minor heart problems,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_End stage cardiac disease,Heart disease; chronic inflammatory issue,CHF = congestive heart failure.
mh_heart history,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_heart tumor,Heart disease; chronic inflammatory issue,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_arrhthmia,Heart disease; chronic inflammatory issue,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_tachycardia,Heart disease; chronic inflammatory issue,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_hematuria,Hematuria; general inflammation,"blood in urine. Inflammation is primary cause but there are non inflammatory causes such as traums, strenuous exercise, blood thinners, or benign structural issues"
mh_herpes zoster,Herpes Zoster; acute inflammatory issue,
oc_herpes/shingles infection in eye,Herpes Zoster Ophthalmicus; acute inflammatory issue,
mh_Dyslipidemia,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High Cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
