Feature:,Flag:,Collapse Group:,Notes:
oc_cataracts (OU),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
mh_CKD,MH: Kidney/renal disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_CKD - stage 3,MH: Kidney/renal disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_Chronic Kidney disease,MH: Kidney/renal disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease,MH: Kidney/renal disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease - stage 3,MH: Kidney/renal disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_cirrhosis,MH: Liver disease,Cirrhosis (unspecified cause),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_liver cirrhosis,MH: Liver disease,Cirrhosis (unspecified cause),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_colon cancer,MH: Colorectal cancer,Colon cancer,
mh_possible colon cancer,MH: Colorectal cancer,Colon cancer,
mh_CHF,MH: Congestive heart failure (CHF),Congestive heart failure (CHF),CHF = congestive heart failure
mh_congestive heart failure,MH: Congestive heart failure (CHF),Congestive heart failure (CHF),CHF = congestive heart failure
mh_heart failure,MH: Congestive heart failure (CHF),Congestive heart failure (CHF),CHF = congestive heart failure
mh_COPD,MH: COPD,COPD,COPD = chronic obstructive pulmonary disease
mh_chronic obstructive pulmonary disease,MH: COPD,COPD,COPD = chronic obstructive pulmonary disease
mh_emphysema,MH: COPD,COPD,Emphysema is a form/consequence of COPD
mh_severe COPD,MH: COPD,COPD,COPD = chronic obstructive pulmonary disease
mh_corneal ulcer,OC: Corneal/eye ulcer,Corneal ulcer,
oc_eye ulcers,OC: Corneal/eye ulcer,Corneal ulcer,
mh_CAD,MH: Coronary artery disease (CAD),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_Coronary Artery Disease,MH: Coronary artery disease (CAD),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_coronary artery disease,MH: Coronary artery disease (CAD),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_coronary artery disesase,MH: Coronary artery disease (CAD),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_ischemic heart disease,MH: Coronary artery disease (CAD),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_CABG,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_CABG - 1979,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_CAD (CABG - 1998),MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_CAD s/p CABG,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_CAD s/p stent,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_cardiac bypass (2003),MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_coronary artery disease s/p bypass,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease) -- decide whether CABG/stent history should merge into CAD or stay as a treatment-history flag"
mh_stent placement,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_stent placement - 1995,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_stents,MH: Coronary artery disease (CAD),Coronary revascularization history (CABG/stent),"CABG = coronary artery bypass graft; stent placement -- both are CAD treatments. Candidate to merge with CAD group above, or keep as a distinct ""history of cardiac procedure"" flag."
mh_Dementia,MH: Dementia (unspecified),Dementia (unspecified),
mh_dementia,MH: Dementia (unspecified),Dementia (unspecified),
mh_Depression,MH: Depression,Depression,"Includes a compound ""depression/bipolar"" entry -- consider whether to split into separate depression and bipolar flags. "
mh_depression,MH: Depression,Depression,"Includes a compound ""depression/bipolar"" entry -- consider whether to split into separate depression and bipolar flags. "
mh_on antidepressant,MH: Depression,Depression,"Includes a compound ""depression/bipolar"" entry -- consider whether to split into separate depression and bipolar flags. "
mh_Eye drops for eyes,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_rewetting drops for eyes,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_Restasis for dry eyes,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_drops for dryness,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_saline drop,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_used eye drops,OC: Dry eye / lubricating drops,Dry eye drops/treatment (various),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye,OC: Dry eye / lubricating drops,Dry eye syndrome (diagnosis),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye syndrome,OC: Dry eye / lubricating drops,Dry eye syndrome (diagnosis),"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_ESLD,MH: Liver disease,End stage liver disease (ESLD),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_end stage liver disease,MH: Liver disease,End stage liver disease (ESLD),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_esophageal cancer,MH: Esophageal cancer,Esophageal cancer,
mh_esophageal cancern diagnosed 2 years ago,MH: Esophageal cancer,Esophageal cancer,
mh_Grave's disease,MH: Thyroid disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_grave's disease,MH: Thyroid disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_possible Graves' disease,MH: Thyroid disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_Heart Disease,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_Heart disease,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_heart diseaes,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_heart disease,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_heart problems,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_mild herat disease,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_minor heart problems,MH: Heart disease (unspecified/generic),"Heart disease (unspecified, generic chart note)","Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source"
mh_Dyslipidemia,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High Cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_Hyperlipidemia,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_elevated cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high chol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high lipids,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hihg cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hyperlipidemia,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_increased cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_nigh cholesterol,MH: High cholesterol / hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_Jon hodgkins lymphoma diagnosed 21 years ago,MH: Lymphoma,Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_hodgkins lymphoma,MH: Lymphoma,Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_HBP,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTN,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTn,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_High Blood Pressure,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_High blood pressure,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_Hypertension,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_high BP,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_high blood pessure,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_high blood pressure,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_hypertension,MH: Hypertension (high blood pressure),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_hypotension,MH: Hypotension (low blood pressure),Hypotension (low blood pressure),Opposite condition from hypertension -- do not merge with the HTN group.
mh_low blood pressure,MH: Hypotension (low blood pressure),Hypotension (low blood pressure),Opposite condition from hypertension -- do not merge with the HTN group.
mh_Hypothyroid,MH: Thyroid disease,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroid,MH: Thyroid disease,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroidism,MH: Thyroid disease,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroid,MH: Thyroid disease,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroidism,MH: Thyroid disease,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_ICH,MH: Brain hemorrhage/infarction (other),Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_cerebral hemorrhage,MH: Brain hemorrhage/infarction (other),Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_head bleed,MH: Brain hemorrhage/infarction (other),Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_generalized jaundice,MH: Jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
